dmf20211105_98345514	TOPIC	1000000	arts, culture, entertainment and media 		16000000	conflict, war and peace 		2000000	crime, law and justice 		3000000	disaster, accident and emergency incident 		4000000	economy, business and finance 	1	5000000	education 		6000000	environment 		7000000	health 		8000000	human interest 		9000000	labour 	2	10000000	lifestyle and leisure 	4	11000000	politics 		12000000	religion 		13000000	science and technology 		14000000	society 		15000000	sport 	3	17000000	weather 		NONE
dmf20211106_94344002	TOPIC	1000000	arts, culture, entertainment and media 	3	16000000	conflict, war and peace 		2000000	crime, law and justice 		3000000	disaster, accident and emergency incident 		4000000	economy, business and finance 		5000000	education 		6000000	environment 		7000000	health 		8000000	human interest 		9000000	labour 		10000000	lifestyle and leisure 	2	11000000	politics 		12000000	religion 		13000000	science and technology 		14000000	society 	4	15000000	sport 	1	17000000	weather 		NONE
dd75b0e	TOPIC	1000000	arts, culture, entertainment and media 	1	16000000	conflict, war and peace 		2000000	crime, law and justice 		3000000	disaster, accident and emergency incident 		4000000	economy, business and finance 	3	5000000	education 		6000000	environment 		7000000	health 		8000000	human interest 		9000000	labour 		10000000	lifestyle and leisure 	2	11000000	politics 		12000000	religion 		13000000	science and technology 		14000000	society 		15000000	sport 		17000000	weather 		NONE
bd4776f	TOPIC	1000000	arts, culture, entertainment and media 	1	16000000	conflict, war and peace 		2000000	crime, law and justice 		3000000	disaster, accident and emergency incident 		4000000	economy, business and finance 	4	5000000	education 		6000000	environment 		7000000	health 		8000000	human interest 		9000000	labour 		10000000	lifestyle and leisure 	2	11000000	politics 		12000000	religion 		13000000	science and technology 		14000000	society 	3	15000000	sport 		17000000	weather 		NONE
9131b296	TOPIC	1000000	arts, culture, entertainment and media 		16000000	conflict, war and peace 		2000000	crime, law and justice 		3000000	disaster, accident and emergency incident 		4000000	economy, business and finance 		5000000	education 		6000000	environment 		7000000	health 		8000000	human interest 	3	9000000	labour 		10000000	lifestyle and leisure 	2	11000000	politics 		12000000	religion 		13000000	science and technology 		14000000	society 		15000000	sport 	1	17000000	weather 		NONE
29ce8c9	TOPIC	1000000	arts, culture, entertainment and media 		16000000	conflict, war and peace 		2000000	crime, law and justice 		3000000	disaster, accident and emergency incident 		4000000	economy, business and finance 	4	5000000	education 		6000000	environment 		7000000	health 		8000000	human interest 	3	9000000	labour 		10000000	lifestyle and leisure 	2	11000000	politics 		12000000	religion 		13000000	science and technology 		14000000	society 		15000000	sport 	1	17000000	weather 		NONE
1636482755498	TOPIC	1000000	arts, culture, entertainment and media 		16000000	conflict, war and peace 		2000000	crime, law and justice 		3000000	disaster, accident and emergency incident 		4000000	economy, business and finance 		5000000	education 		6000000	environment 		7000000	health 		8000000	human interest 	3	9000000	labour 		10000000	lifestyle and leisure 		11000000	politics 	1	12000000	religion 		13000000	science and technology 		14000000	society 	2	15000000	sport 		17000000	weather 		NONE
dmf20211116_97550281	TOPIC	1000000	arts, culture, entertainment and media 	1	16000000	conflict, war and peace 		2000000	crime, law and justice 		3000000	disaster, accident and emergency incident 		4000000	economy, business and finance 		5000000	education 		6000000	environment 		7000000	health 		8000000	human interest 		9000000	labour 		10000000	lifestyle and leisure 	2	11000000	politics 		12000000	religion 		13000000	science and technology 		14000000	society 		15000000	sport 		17000000	weather 		NONE
dmf20211111_96890681	TOPIC	1000000	arts, culture, entertainment and media 	3	16000000	conflict, war and peace 	4	2000000	crime, law and justice 		3000000	disaster, accident and emergency incident 		4000000	economy, business and finance 		5000000	education 		6000000	environment 		7000000	health 	5	8000000	human interest 	2	9000000	labour 		10000000	lifestyle and leisure 		11000000	politics 		12000000	religion 		13000000	science and technology 		14000000	society 	1	15000000	sport 		17000000	weather 		NONE
dmf20211126_96163701	TOPIC	1000000	arts, culture, entertainment and media 		16000000	conflict, war and peace 		2000000	crime, law and justice 		3000000	disaster, accident and emergency incident 		4000000	economy, business and finance 		5000000	education 		6000000	environment 		7000000	health 		8000000	human interest 	2	9000000	labour 		10000000	lifestyle and leisure 	3	11000000	politics 		12000000	religion 		13000000	science and technology 		14000000	society 	1	15000000	sport 		17000000	weather 		NONE
dmf20211119_95542759	TOPIC	1000000	arts, culture, entertainment and media 		16000000	conflict, war and peace 		2000000	crime, law and justice 		3000000	disaster, accident and emergency incident 		4000000	economy, business and finance 		5000000	education 		6000000	environment 		7000000	health 	1	8000000	human interest 	3	9000000	labour 		10000000	lifestyle and leisure 		11000000	politics 	4	12000000	religion 		13000000	science and technology 		14000000	society 	2	15000000	sport 		17000000	weather 		NONE
dmf20211115_97293111	TOPIC	1000000	arts, culture, entertainment and media 		16000000	conflict, war and peace 		2000000	crime, law and justice 	1	3000000	disaster, accident and emergency incident 		4000000	economy, business and finance 	3	5000000	education 		6000000	environment 		7000000	health 		8000000	human interest 		9000000	labour 		10000000	lifestyle and leisure 		11000000	politics 		12000000	religion 		13000000	science and technology 		14000000	society 	2	15000000	sport 		17000000	weather 		NONE
dmf20211119_94627739	TOPIC	1000000	arts, culture, entertainment and media 		16000000	conflict, war and peace 		2000000	crime, law and justice 	1	3000000	disaster, accident and emergency incident 		4000000	economy, business and finance 		5000000	education 		6000000	environment 		7000000	health 		8000000	human interest 	2	9000000	labour 		10000000	lifestyle and leisure 		11000000	politics 		12000000	religion 		13000000	science and technology 		14000000	society 	3	15000000	sport 		17000000	weather 		NONE
dmf20211114_97796913	TOPIC	1000000	arts, culture, entertainment and media 		16000000	conflict, war and peace 		2000000	crime, law and justice 		3000000	disaster, accident and emergency incident 		4000000	economy, business and finance 		5000000	education 		6000000	environment 		7000000	health 		8000000	human interest 	3	9000000	labour 		10000000	lifestyle and leisure 	2	11000000	politics 		12000000	religion 		13000000	science and technology 		14000000	society 		15000000	sport 	1	17000000	weather 		NONE
dmf20211112_96293115	TOPIC	1000000	arts, culture, entertainment and media 		16000000	conflict, war and peace 		2000000	crime, law and justice 		3000000	disaster, accident and emergency incident 		4000000	economy, business and finance 	4	5000000	education 		6000000	environment 		7000000	health 		8000000	human interest 	3	9000000	labour 	5	10000000	lifestyle and leisure 		11000000	politics 	1	12000000	religion 		13000000	science and technology 		14000000	society 	2	15000000	sport 		17000000	weather 		NONE
dmf20211116_95238031	TOPIC	1000000	arts, culture, entertainment and media 	1	16000000	conflict, war and peace 		2000000	crime, law and justice 		3000000	disaster, accident and emergency incident 		4000000	economy, business and finance 		5000000	education 		6000000	environment 		7000000	health 	2	8000000	human interest 	3	9000000	labour 		10000000	lifestyle and leisure 		11000000	politics 	4	12000000	religion 		13000000	science and technology 		14000000	society 		15000000	sport 		17000000	weather 		NONE
dmf20211128_97477505	TOPIC	1000000	arts, culture, entertainment and media 		16000000	conflict, war and peace 		2000000	crime, law and justice 		3000000	disaster, accident and emergency incident 		4000000	economy, business and finance 		5000000	education 		6000000	environment 		7000000	health 	1	8000000	human interest 	3	9000000	labour 		10000000	lifestyle and leisure 		11000000	politics 		12000000	religion 		13000000	science and technology 		14000000	society 	2	15000000	sport 		17000000	weather 		NONE
dmf20211123_95913643	TOPIC	1000000	arts, culture, entertainment and media 		16000000	conflict, war and peace 		2000000	crime, law and justice 		3000000	disaster, accident and emergency incident 		4000000	economy, business and finance 		5000000	education 		6000000	environment 		7000000	health 		8000000	human interest 	1	9000000	labour 		10000000	lifestyle and leisure 		11000000	politics 		12000000	religion 		13000000	science and technology 		14000000	society 	2	15000000	sport 		17000000	weather 		NONE
dmf20211126_96649493	TOPIC	1000000	arts, culture, entertainment and media 	5	16000000	conflict, war and peace 		2000000	crime, law and justice 		3000000	disaster, accident and emergency incident 		4000000	economy, business and finance 	2	5000000	education 		6000000	environment 		7000000	health 		8000000	human interest 	3	9000000	labour 	1	10000000	lifestyle and leisure 		11000000	politics 		12000000	religion 		13000000	science and technology 	4	14000000	society 		15000000	sport 		17000000	weather 		NONE
dmf20211111_96564661	TOPIC	1000000	arts, culture, entertainment and media 		16000000	conflict, war and peace 		2000000	crime, law and justice 		3000000	disaster, accident and emergency incident 		4000000	economy, business and finance 		5000000	education 		6000000	environment 		7000000	health 	4	8000000	human interest 	2	9000000	labour 		10000000	lifestyle and leisure 	3	11000000	politics 		12000000	religion 		13000000	science and technology 		14000000	society 		15000000	sport 	1	17000000	weather 		NONE
1ffaeac	TOPIC	1000000	arts, culture, entertainment and media 	5	16000000	conflict, war and peace 	1	2000000	crime, law and justice 		3000000	disaster, accident and emergency incident 		4000000	economy, business and finance 		5000000	education 		6000000	environment 		7000000	health 		8000000	human interest 	3	9000000	labour 		10000000	lifestyle and leisure 		11000000	politics 	2	12000000	religion 	4	13000000	science and technology 		14000000	society 		15000000	sport 		17000000	weather 		NONE
04b8253	TOPIC	1000000	arts, culture, entertainment and media 		16000000	conflict, war and peace 		2000000	crime, law and justice 		3000000	disaster, accident and emergency incident 		4000000	economy, business and finance 	1	5000000	education 		6000000	environment 	3	7000000	health 		8000000	human interest 		9000000	labour 		10000000	lifestyle and leisure 		11000000	politics 		12000000	religion 		13000000	science and technology 	4	14000000	society 	2	15000000	sport 		17000000	weather 		NONE
dmf20211118_94125142	TOPIC	1000000	arts, culture, entertainment and media 		16000000	conflict, war and peace 		2000000	crime, law and justice 		3000000	disaster, accident and emergency incident 		4000000	economy, business and finance 		5000000	education 		6000000	environment 		7000000	health 	2	8000000	human interest 	1	9000000	labour 		10000000	lifestyle and leisure 		11000000	politics 		12000000	religion 		13000000	science and technology 		14000000	society 	3	15000000	sport 		17000000	weather 		NONE
2c089e2	TOPIC	1000000	arts, culture, entertainment and media 		16000000	conflict, war and peace 		2000000	crime, law and justice 	1	3000000	disaster, accident and emergency incident 		4000000	economy, business and finance 	2	5000000	education 		6000000	environment 		7000000	health 		8000000	human interest 		9000000	labour 		10000000	lifestyle and leisure 		11000000	politics 		12000000	religion 		13000000	science and technology 		14000000	society 	3	15000000	sport 		17000000	weather 		NONE
dmf20211109_96110056	TOPIC	1000000	arts, culture, entertainment and media 	2	16000000	conflict, war and peace 		2000000	crime, law and justice 	3	3000000	disaster, accident and emergency incident 		4000000	economy, business and finance 		5000000	education 		6000000	environment 		7000000	health 		8000000	human interest 	1	9000000	labour 		10000000	lifestyle and leisure 		11000000	politics 		12000000	religion 		13000000	science and technology 		14000000	society 	4	15000000	sport 		17000000	weather 		NONE
1636358912497	TOPIC	1000000	arts, culture, entertainment and media 		16000000	conflict, war and peace 		2000000	crime, law and justice 		3000000	disaster, accident and emergency incident 	1	4000000	economy, business and finance 		5000000	education 		6000000	environment 		7000000	health 	2	8000000	human interest 	3	9000000	labour 		10000000	lifestyle and leisure 		11000000	politics 		12000000	religion 		13000000	science and technology 		14000000	society 	4	15000000	sport 		17000000	weather 		NONE
2f0be90	TOPIC	1000000	arts, culture, entertainment and media 		16000000	conflict, war and peace 		2000000	crime, law and justice 		3000000	disaster, accident and emergency incident 		4000000	economy, business and finance 		5000000	education 		6000000	environment 		7000000	health 		8000000	human interest 		9000000	labour 		10000000	lifestyle and leisure 		11000000	politics 		12000000	religion 		13000000	science and technology 		14000000	society 		15000000	sport 		17000000	weather 		NONE
1f82c62	TOPIC	1000000	arts, culture, entertainment and media 		16000000	conflict, war and peace 		2000000	crime, law and justice 		3000000	disaster, accident and emergency incident 	4	4000000	economy, business and finance 		5000000	education 		6000000	environment 		7000000	health 		8000000	human interest 	1	9000000	labour 		10000000	lifestyle and leisure 		11000000	politics 	2	12000000	religion 		13000000	science and technology 		14000000	society 	3	15000000	sport 		17000000	weather 		NONE
dmf20211126_94093335	TOPIC	1000000	arts, culture, entertainment and media 		16000000	conflict, war and peace 		2000000	crime, law and justice 		3000000	disaster, accident and emergency incident 		4000000	economy, business and finance 	3	5000000	education 		6000000	environment 		7000000	health 	1	8000000	human interest 		9000000	labour 	4	10000000	lifestyle and leisure 		11000000	politics 		12000000	religion 		13000000	science and technology 		14000000	society 		15000000	sport 	2	17000000	weather 		NONE
dmf20211107_95485272	TOPIC	1000000	arts, culture, entertainment and media 		16000000	conflict, war and peace 		2000000	crime, law and justice 		3000000	disaster, accident and emergency incident 		4000000	economy, business and finance 		5000000	education 	2	6000000	environment 		7000000	health 	3	8000000	human interest 	4	9000000	labour 		10000000	lifestyle and leisure 	1	11000000	politics 		12000000	religion 		13000000	science and technology 		14000000	society 	5	15000000	sport 		17000000	weather 		NONE
dmf20211123_97838791	TOPIC	1000000	arts, culture, entertainment and media 		16000000	conflict, war and peace 		2000000	crime, law and justice 		3000000	disaster, accident and emergency incident 		4000000	economy, business and finance 	1	5000000	education 		6000000	environment 	2	7000000	health 		8000000	human interest 	3	9000000	labour 		10000000	lifestyle and leisure 		11000000	politics 	5	12000000	religion 		13000000	science and technology 	4	14000000	society 		15000000	sport 		17000000	weather 		NONE
dmf20211109_96062169	TOPIC	1000000	arts, culture, entertainment and media 		16000000	conflict, war and peace 		2000000	crime, law and justice 		3000000	disaster, accident and emergency incident 		4000000	economy, business and finance 	1	5000000	education 		6000000	environment 		7000000	health 		8000000	human interest 	3	9000000	labour 	2	10000000	lifestyle and leisure 		11000000	politics 		12000000	religion 		13000000	science and technology 		14000000	society 		15000000	sport 		17000000	weather 		NONE
230bb52	TOPIC	1000000	arts, culture, entertainment and media 	1	16000000	conflict, war and peace 		2000000	crime, law and justice 		3000000	disaster, accident and emergency incident 		4000000	economy, business and finance 		5000000	education 		6000000	environment 		7000000	health 		8000000	human interest 	3	9000000	labour 		10000000	lifestyle and leisure 	2	11000000	politics 		12000000	religion 		13000000	science and technology 		14000000	society 		15000000	sport 		17000000	weather 		NONE
dmf20211109_91589231	TOPIC	1000000	arts, culture, entertainment and media 		16000000	conflict, war and peace 		2000000	crime, law and justice 		3000000	disaster, accident and emergency incident 		4000000	economy, business and finance 	2	5000000	education 		6000000	environment 		7000000	health 		8000000	human interest 	3	9000000	labour 		10000000	lifestyle and leisure 		11000000	politics 		12000000	religion 		13000000	science and technology 	1	14000000	society 		15000000	sport 		17000000	weather 		NONE
dmf20211112_94897284	TOPIC	1000000	arts, culture, entertainment and media 		16000000	conflict, war and peace 		2000000	crime, law and justice 		3000000	disaster, accident and emergency incident 		4000000	economy, business and finance 		5000000	education 	1	6000000	environment 		7000000	health 		8000000	human interest 	3	9000000	labour 		10000000	lifestyle and leisure 		11000000	politics 		12000000	religion 		13000000	science and technology 		14000000	society 	4	15000000	sport 	2	17000000	weather 		NONE
dmf20211112_93766052	TOPIC	1000000	arts, culture, entertainment and media 		16000000	conflict, war and peace 		2000000	crime, law and justice 		3000000	disaster, accident and emergency incident 		4000000	economy, business and finance 		5000000	education 	1	6000000	environment 		7000000	health 		8000000	human interest 		9000000	labour 		10000000	lifestyle and leisure 	3	11000000	politics 		12000000	religion 		13000000	science and technology 		14000000	society 	2	15000000	sport 		17000000	weather 		NONE
dmf20211121_97202194	TOPIC	1000000	arts, culture, entertainment and media 	1	16000000	conflict, war and peace 		2000000	crime, law and justice 		3000000	disaster, accident and emergency incident 		4000000	economy, business and finance 		5000000	education 		6000000	environment 		7000000	health 		8000000	human interest 	2	9000000	labour 		10000000	lifestyle and leisure 	4	11000000	politics 		12000000	religion 		13000000	science and technology 		14000000	society 		15000000	sport 	3	17000000	weather 		NONE
feff43e	TOPIC	1000000	arts, culture, entertainment and media 	1	16000000	conflict, war and peace 		2000000	crime, law and justice 		3000000	disaster, accident and emergency incident 		4000000	economy, business and finance 		5000000	education 		6000000	environment 		7000000	health 		8000000	human interest 	2	9000000	labour 		10000000	lifestyle and leisure 	3	11000000	politics 		12000000	religion 		13000000	science and technology 		14000000	society 		15000000	sport 		17000000	weather 		NONE
dmf20211106_97737810	TOPIC	1000000	arts, culture, entertainment and media 	3	16000000	conflict, war and peace 		2000000	crime, law and justice 		3000000	disaster, accident and emergency incident 		4000000	economy, business and finance 	5	5000000	education 		6000000	environment 		7000000	health 	2	8000000	human interest 	1	9000000	labour 		10000000	lifestyle and leisure 	4	11000000	politics 		12000000	religion 		13000000	science and technology 		14000000	society 		15000000	sport 		17000000	weather 		NONE
dmf20211111_92880060	TOPIC	1000000	arts, culture, entertainment and media 	2	16000000	conflict, war and peace 		2000000	crime, law and justice 		3000000	disaster, accident and emergency incident 		4000000	economy, business and finance 		5000000	education 		6000000	environment 		7000000	health 	3	8000000	human interest 	1	9000000	labour 		10000000	lifestyle and leisure 	4	11000000	politics 		12000000	religion 		13000000	science and technology 		14000000	society 		15000000	sport 		17000000	weather 		NONE
dmf20211107_95096291	TOPIC	1000000	arts, culture, entertainment and media 		16000000	conflict, war and peace 		2000000	crime, law and justice 		3000000	disaster, accident and emergency incident 		4000000	economy, business and finance 		5000000	education 		6000000	environment 		7000000	health 		8000000	human interest 	3	9000000	labour 		10000000	lifestyle and leisure 	2	11000000	politics 		12000000	religion 		13000000	science and technology 		14000000	society 		15000000	sport 	1	17000000	weather 		NONE
dmf20211126_93830630	TOPIC	1000000	arts, culture, entertainment and media 		16000000	conflict, war and peace 		2000000	crime, law and justice 	2	3000000	disaster, accident and emergency incident 		4000000	economy, business and finance 		5000000	education 		6000000	environment 		7000000	health 		8000000	human interest 	1	9000000	labour 		10000000	lifestyle and leisure 		11000000	politics 		12000000	religion 		13000000	science and technology 		14000000	society 		15000000	sport 		17000000	weather 		NONE
9016b1a	TOPIC	1000000	arts, culture, entertainment and media 		16000000	conflict, war and peace 		2000000	crime, law and justice 		3000000	disaster, accident and emergency incident 		4000000	economy, business and finance 	2	5000000	education 		6000000	environment 		7000000	health 		8000000	human interest 	1	9000000	labour 	3	10000000	lifestyle and leisure 		11000000	politics 		12000000	religion 		13000000	science and technology 		14000000	society 		15000000	sport 		17000000	weather 		NONE
dmf20211120_91986651	TOPIC	1000000	arts, culture, entertainment and media 		16000000	conflict, war and peace 		2000000	crime, law and justice 		3000000	disaster, accident and emergency incident 		4000000	economy, business and finance 		5000000	education 		6000000	environment 		7000000	health 		8000000	human interest 		9000000	labour 		10000000	lifestyle and leisure 		11000000	politics 		12000000	religion 		13000000	science and technology 		14000000	society 		15000000	sport 		17000000	weather 	1	NONE
332d6e5	TOPIC	1000000	arts, culture, entertainment and media 		16000000	conflict, war and peace 		2000000	crime, law and justice 	4	3000000	disaster, accident and emergency incident 		4000000	economy, business and finance 	2	5000000	education 		6000000	environment 		7000000	health 	3	8000000	human interest 	1	9000000	labour 		10000000	lifestyle and leisure 		11000000	politics 	5	12000000	religion 		13000000	science and technology 		14000000	society 		15000000	sport 		17000000	weather 		NONE
112cb77	TOPIC	1000000	arts, culture, entertainment and media 		16000000	conflict, war and peace 		2000000	crime, law and justice 		3000000	disaster, accident and emergency incident 		4000000	economy, business and finance 		5000000	education 		6000000	environment 		7000000	health 		8000000	human interest 	3	9000000	labour 		10000000	lifestyle and leisure 	2	11000000	politics 		12000000	religion 		13000000	science and technology 		14000000	society 		15000000	sport 	1	17000000	weather 		NONE
dmf20211119_95173476	TOPIC	1000000	arts, culture, entertainment and media 	2	16000000	conflict, war and peace 		2000000	crime, law and justice 	1	3000000	disaster, accident and emergency incident 		4000000	economy, business and finance 		5000000	education 		6000000	environment 		7000000	health 		8000000	human interest 	3	9000000	labour 		10000000	lifestyle and leisure 		11000000	politics 		12000000	religion 		13000000	science and technology 		14000000	society 		15000000	sport 		17000000	weather 		NONE
dmf20211128_96015934	TOPIC	1000000	arts, culture, entertainment and media 		16000000	conflict, war and peace 		2000000	crime, law and justice 		3000000	disaster, accident and emergency incident 	1	4000000	economy, business and finance 		5000000	education 		6000000	environment 		7000000	health 		8000000	human interest 	2	9000000	labour 		10000000	lifestyle and leisure 		11000000	politics 		12000000	religion 		13000000	science and technology 		14000000	society 		15000000	sport 		17000000	weather 		NONE
dmf20211107_96744398	TOPIC	1000000	arts, culture, entertainment and media 		16000000	conflict, war and peace 		2000000	crime, law and justice 		3000000	disaster, accident and emergency incident 	1	4000000	economy, business and finance 		5000000	education 		6000000	environment 		7000000	health 	4	8000000	human interest 	3	9000000	labour 		10000000	lifestyle and leisure 		11000000	politics 	2	12000000	religion 		13000000	science and technology 		14000000	society 		15000000	sport 		17000000	weather 		NONE
dmf20211115_94119264	TOPIC	1000000	arts, culture, entertainment and media 		16000000	conflict, war and peace 		2000000	crime, law and justice 		3000000	disaster, accident and emergency incident 		4000000	economy, business and finance 		5000000	education 		6000000	environment 		7000000	health 		8000000	human interest 	2	9000000	labour 		10000000	lifestyle and leisure 	1	11000000	politics 		12000000	religion 		13000000	science and technology 		14000000	society 		15000000	sport 	3	17000000	weather 		NONE
1636552377470	TOPIC	1000000	arts, culture, entertainment and media 		16000000	conflict, war and peace 		2000000	crime, law and justice 	1	3000000	disaster, accident and emergency incident 		4000000	economy, business and finance 		5000000	education 		6000000	environment 		7000000	health 		8000000	human interest 	2	9000000	labour 		10000000	lifestyle and leisure 		11000000	politics 		12000000	religion 		13000000	science and technology 		14000000	society 		15000000	sport 		17000000	weather 		NONE
3db6526	TOPIC	1000000	arts, culture, entertainment and media 		16000000	conflict, war and peace 		2000000	crime, law and justice 		3000000	disaster, accident and emergency incident 		4000000	economy, business and finance 		5000000	education 		6000000	environment 		7000000	health 	2	8000000	human interest 	3	9000000	labour 		10000000	lifestyle and leisure 		11000000	politics 	1	12000000	religion 		13000000	science and technology 		14000000	society 		15000000	sport 		17000000	weather 		NONE
9e41c39	TOPIC	1000000	arts, culture, entertainment and media 		16000000	conflict, war and peace 		2000000	crime, law and justice 		3000000	disaster, accident and emergency incident 		4000000	economy, business and finance 		5000000	education 		6000000	environment 		7000000	health 		8000000	human interest 	3	9000000	labour 		10000000	lifestyle and leisure 		11000000	politics 	1	12000000	religion 		13000000	science and technology 		14000000	society 	2	15000000	sport 		17000000	weather 		NONE
dmf20211115_93377188	TOPIC	1000000	arts, culture, entertainment and media 		16000000	conflict, war and peace 		2000000	crime, law and justice 		3000000	disaster, accident and emergency incident 		4000000	economy, business and finance 		5000000	education 		6000000	environment 		7000000	health 		8000000	human interest 	3	9000000	labour 		10000000	lifestyle and leisure 	2	11000000	politics 		12000000	religion 		13000000	science and technology 		14000000	society 		15000000	sport 	1	17000000	weather 		NONE
dmf20211113_92319187	TOPIC	1000000	arts, culture, entertainment and media 		16000000	conflict, war and peace 		2000000	crime, law and justice 	5	3000000	disaster, accident and emergency incident 		4000000	economy, business and finance 		5000000	education 		6000000	environment 		7000000	health 		8000000	human interest 	3	9000000	labour 		10000000	lifestyle and leisure 	2	11000000	politics 		12000000	religion 		13000000	science and technology 	4	14000000	society 		15000000	sport 	1	17000000	weather 		NONE
1637260877992	TOPIC	1000000	arts, culture, entertainment and media 	3	16000000	conflict, war and peace 		2000000	crime, law and justice 		3000000	disaster, accident and emergency incident 		4000000	economy, business and finance 		5000000	education 		6000000	environment 		7000000	health 		8000000	human interest 	1	9000000	labour 		10000000	lifestyle and leisure 	2	11000000	politics 		12000000	religion 		13000000	science and technology 		14000000	society 		15000000	sport 		17000000	weather 		NONE
cdbe896	TOPIC	1000000	arts, culture, entertainment and media 		16000000	conflict, war and peace 		2000000	crime, law and justice 		3000000	disaster, accident and emergency incident 		4000000	economy, business and finance 		5000000	education 		6000000	environment 		7000000	health 		8000000	human interest 	1	9000000	labour 		10000000	lifestyle and leisure 		11000000	politics 		12000000	religion 		13000000	science and technology 		14000000	society 	3	15000000	sport 	2	17000000	weather 		NONE
